date,open,high,low,close,volume
2026-01-01,100,102,98,100,1200
2026-01-02,100,101,97,99,1250
2026-01-05,99,100,96,98,1180
2026-01-06,98,99,95,97,1300
2026-01-07,97,98,94,96,1270
2026-01-08,96,97,93,95,1400
2026-01-09,95,96,92,94,1350
2026-01-12,94,97,93,95,1500
2026-01-13,95,98,94,96,1520
2026-01-14,96,99,95,98,1600
2026-01-15,98,101,97,100,1700
2026-01-16,100,103,99,102,1750
2026-01-19,102,105,101,104,1800
2026-01-20,104,107,103,106,1900
2026-01-21,106,109,105,108,1950
2026-01-22,108,111,107,110,2050
2026-01-23,110,112,108,111,2100
2026-01-26,111,113,109,110,2000
2026-01-27,110,111,107,109,1950
2026-01-28,109,110,105,107,2200
2026-01-29,107,108,103,105,2300
2026-01-30,105,106,101,103,2350
2026-02-02,103,104,99,101,2400
2026-02-03,101,102,97,99,2500
2026-02-04,99,100,95,97,2550
2026-02-05,97,98,93,95,2600
2026-02-06,95,96,91,93,2700
2026-02-09,93,94,89,91,2750
2026-02-10,91,93,90,92,2500
2026-02-11,92,95,91,94,2450
2026-02-12,94,97,93,96,2400
2026-02-13,96,99,95,98,2350
2026-02-16,98,101,97,100,2300
2026-02-17,100,103,99,102,2250
2026-02-18,102,105,101,104,2200
2026-02-19,104,107,103,106,2150
2026-02-20,106,109,105,108,2100
2026-02-23,108,111,107,110,2050
2026-02-24,110,113,109,112,2000
2026-02-25,112,115,111,114,1950
